Timestamp,Date,Hour,Perimeter,Consumption_MWh
2023-01-01 00:00:00,2023-01-01,0,Grand-Est,3290.5
2023-01-01 01:00:00,2023-01-01,1,Grand-Est,3732.0
2023-01-01 02:00:00,2023-01-01,2,Grand-Est,4092.5
2023-01-01 03:00:00,2023-01-01,3,Grand-Est,3958.0
2023-01-01 04:00:00,2023-01-01,4,Grand-Est,3459.5
2023-01-01 05:00:00,2023-01-01,5,Grand-Est,3352.5
2023-01-01 06:00:00,2023-01-01,6,Grand-Est,3122.0
2023-01-01 07:00:00,2023-01-01,7,Grand-Est,3311.5
2023-01-01 08:00:00,2023-01-01,8,Grand-Est,3532.5
2023-01-01 09:00:00,2023-01-01,9,Grand-Est,3387.5
2023-01-01 10:00:00,2023-01-01,10,Grand-Est,3716.0
2023-01-01 11:00:00,2023-01-01,11,Grand-Est,3836.0
2023-01-01 12:00:00,2023-01-01,12,Grand-Est,3961.5
2023-01-01 13:00:00,2023-01-01,13,Grand-Est,4003.5
2023-01-01 14:00:00,2023-01-01,14,Grand-Est,3502.5
2023-01-01 15:00:00,2023-01-01,15,Grand-Est,3630.0
2023-01-01 16:00:00,2023-01-01,16,Grand-Est,3643.0
2023-01-01 17:00:00,2023-01-01,17,Grand-Est,3745.5
2023-01-01 18:00:00,2023-01-01,18,Grand-Est,4029.0
2023-01-01 19:00:00,2023-01-01,19,Grand-Est,4056.5
2023-01-01 20:00:00,2023-01-01,20,Grand-Est,4080.5
2023-01-01 21:00:00,2023-01-01,21,Grand-Est,4011.5
2023-01-01 22:00:00,2023-01-01,22,Grand-Est,3654.5
2023-01-01 23:00:00,2023-01-01,23,Grand-Est,3822.5
2023-01-02 00:00:00,2023-01-02,0,Grand-Est,3966.5
2023-01-02 01:00:00,2023-01-02,1,Grand-Est,3379.5
2023-01-02 02:00:00,2023-01-02,2,Grand-Est,3506.0
2023-01-02 03:00:00,2023-01-02,3,Grand-Est,3572.0
2023-01-02 04:00:00,2023-01-02,4,Grand-Est,3386.5
2023-01-02 05:00:00,2023-01-02,5,Grand-Est,3316.0
