Timestamp,Date,Hour,Perimeter,Consumption_MWh
2023-01-01 00:00:00,2023-01-01,0,France,46956.5
2023-01-01 01:00:00,2023-01-01,1,France,45033.0
2023-01-01 02:00:00,2023-01-01,2,France,44923.0
2023-01-01 03:00:00,2023-01-01,3,France,42145.0
2023-01-01 04:00:00,2023-01-01,4,France,39567.0
2023-01-01 05:00:00,2023-01-01,5,France,38240.5
2023-01-01 06:00:00,2023-01-01,6,France,38179.0
2023-01-01 07:00:00,2023-01-01,7,France,38535.0
2023-01-01 08:00:00,2023-01-01,8,France,38958.0
2023-01-01 09:00:00,2023-01-01,9,France,39582.5
2023-01-01 10:00:00,2023-01-01,10,France,41157.5
2023-01-01 11:00:00,2023-01-01,11,France,42741.0
2023-01-01 12:00:00,2023-01-01,12,France,44474.0
2023-01-01 13:00:00,2023-01-01,13,France,44487.0
2023-01-01 14:00:00,2023-01-01,14,France,43275.5
2023-01-01 15:00:00,2023-01-01,15,France,42933.0
2023-01-01 16:00:00,2023-01-01,16,France,42143.0
2023-01-01 17:00:00,2023-01-01,17,France,43146.5
2023-01-01 18:00:00,2023-01-01,18,France,46415.0
2023-01-01 19:00:00,2023-01-01,19,France,48230.0
2023-01-01 20:00:00,2023-01-01,20,France,47263.5
2023-01-01 21:00:00,2023-01-01,21,France,45661.0
2023-01-01 22:00:00,2023-01-01,22,France,44567.5
2023-01-01 23:00:00,2023-01-01,23,France,45898.0
2023-01-02 00:00:00,2023-01-02,0,France,44696.5
2023-01-02 01:00:00,2023-01-02,1,France,42143.0
2023-01-02 02:00:00,2023-01-02,2,France,41934.5
2023-01-02 03:00:00,2023-01-02,3,France,39848.0
2023-01-02 04:00:00,2023-01-02,4,France,38542.0
2023-01-02 05:00:00,2023-01-02,5,France,39416.0
2023-01-02 06:00:00,2023-01-02,6,France,42488.0
2023-01-02 07:00:00,2023-01-02,7,France,46297.0
2023-01-02 08:00:00,2023-01-02,8,France,49431.5
2023-01-02 09:00:00,2023-01-02,9,France,51287.0
2023-01-02 10:00:00,2023-01-02,10,France,52875.5
2023-01-02 11:00:00,2023-01-02,11,France,53973.5
2023-01-02 12:00:00,2023-01-02,12,France,55192.5
2023-01-02 13:00:00,2023-01-02,13,France,53976.5
2023-01-02 14:00:00,2023-01-02,14,France,53166.5
