Timestamp,Date,Hour,Perimeter,Consumption_MWh
2023-01-01 00:00:00,2023-01-01,0,Normandie,3034.0
2023-01-01 01:00:00,2023-01-01,1,Normandie,2818.0
2023-01-01 02:00:00,2023-01-01,2,Normandie,2777.0
2023-01-01 03:00:00,2023-01-01,3,Normandie,2475.0
2023-01-01 04:00:00,2023-01-01,4,Normandie,2364.0
2023-01-01 05:00:00,2023-01-01,5,Normandie,2279.0
2023-01-01 06:00:00,2023-01-01,6,Normandie,2426.5
2023-01-01 07:00:00,2023-01-01,7,Normandie,2366.0
2023-01-01 08:00:00,2023-01-01,8,Normandie,2362.5
2023-01-01 09:00:00,2023-01-01,9,Normandie,2459.5
2023-01-01 10:00:00,2023-01-01,10,Normandie,2423.5
2023-01-01 11:00:00,2023-01-01,11,Normandie,2554.0
2023-01-01 12:00:00,2023-01-01,12,Normandie,2697.5
2023-01-01 13:00:00,2023-01-01,13,Normandie,2658.5
2023-01-01 14:00:00,2023-01-01,14,Normandie,2541.5
2023-01-01 15:00:00,2023-01-01,15,Normandie,2532.0
2023-01-01 16:00:00,2023-01-01,16,Normandie,2504.0
2023-01-01 17:00:00,2023-01-01,17,Normandie,2530.0
2023-01-01 18:00:00,2023-01-01,18,Normandie,2676.5
2023-01-01 19:00:00,2023-01-01,19,Normandie,2886.0
2023-01-01 20:00:00,2023-01-01,20,Normandie,2807.0
2023-01-01 21:00:00,2023-01-01,21,Normandie,2792.5
2023-01-01 22:00:00,2023-01-01,22,Normandie,2828.0
2023-01-01 23:00:00,2023-01-01,23,Normandie,2844.5
2023-01-02 00:00:00,2023-01-02,0,Normandie,2644.5
2023-01-02 01:00:00,2023-01-02,1,Normandie,2654.5
2023-01-02 02:00:00,2023-01-02,2,Normandie,2747.0
2023-01-02 03:00:00,2023-01-02,3,Normandie,2385.5
2023-01-02 04:00:00,2023-01-02,4,Normandie,2186.0
2023-01-02 05:00:00,2023-01-02,5,Normandie,2364.0
2023-01-02 06:00:00,2023-01-02,6,Normandie,2565.0
2023-01-02 07:00:00,2023-01-02,7,Normandie,2797.0
2023-01-02 08:00:00,2023-01-02,8,Normandie,2984.0
2023-01-02 09:00:00,2023-01-02,9,Normandie,3059.5
2023-01-02 10:00:00,2023-01-02,10,Normandie,3208.0
2023-01-02 11:00:00,2023-01-02,11,Normandie,3311.0
2023-01-02 12:00:00,2023-01-02,12,Normandie,3128.5
2023-01-02 13:00:00,2023-01-02,13,Normandie,3212.0
2023-01-02 14:00:00,2023-01-02,14,Normandie,3011.5
2023-01-02 15:00:00,2023-01-02,15,Normandie,3112.0
2023-01-02 16:00:00,2023-01-02,16,Normandie,2919.0
2023-01-02 17:00:00,2023-01-02,17,Normandie,3342.5
2023-01-02 18:00:00,2023-01-02,18,Normandie,3435.0
2023-01-02 19:00:00,2023-01-02,19,Normandie,3524.5
2023-01-02 20:00:00,2023-01-02,20,Normandie,3382.5
2023-01-02 21:00:00,2023-01-02,21,Normandie,3360.5
2023-01-02 22:00:00,2023-01-02,22,Normandie,3423.0
2023-01-02 23:00:00,2023-01-02,23,Normandie,3382.0
2023-01-03 00:00:00,2023-01-03,0,Normandie,3181.0
2023-01-03 01:00:00,2023-01-03,1,Normandie,3125.5
2023-01-03 02:00:00,2023-01-03,2,Normandie,3029.0
2023-01-03 03:00:00,2023-01-03,3,Normandie,2952.0
2023-01-03 04:00:00,2023-01-03,4,Normandie,2896.5
2023-01-03 05:00:00,2023-01-03,5,Normandie,2911.0
2023-01-03 06:00:00,2023-01-03,6,Normandie,3120.5
2023-01-03 07:00:00,2023-01-03,7,Normandie,3696.0
2023-01-03 08:00:00,2023-01-03,8,Normandie,3711.0
2023-01-03 09:00:00,2023-01-03,9,Normandie,3869.5
2023-01-03 10:00:00,2023-01-03,10,Normandie,3762.0
2023-01-03 11:00:00,2023-01-03,11,Normandie,3757.5
2023-01-03 12:00:00,2023-01-03,12,Normandie,3579.0
2023-01-03 13:00:00,2023-01-03,13,Normandie,3582.5
2023-01-03 14:00:00,2023-01-03,14,Normandie,3500.0
2023-01-03 15:00:00,2023-01-03,15,Normandie,3374.5
2023-01-03 16:00:00,2023-01-03,16,Normandie,3344.5
2023-01-03 17:00:00,2023-01-03,17,Normandie,3733.0
2023-01-03 18:00:00,2023-01-03,18,Normandie,3725.5
2023-01-03 19:00:00,2023-01-03,19,Normandie,3613.5
2023-01-03 20:00:00,2023-01-03,20,Normandie,3846.0
2023-01-03 21:00:00,2023-01-03,21,Normandie,3543.5
2023-01-03 22:00:00,2023-01-03,22,Normandie,3297.5
2023-01-03 23:00:00,2023-01-03,23,Normandie,3095.0
2023-01-04 00:00:00,2023-01-04,0,Normandie,3421.5
2023-01-04 01:00:00,2023-01-04,1,Normandie,3095.0
2023-01-04 02:00:00,2023-01-04,2,Normandie,3004.0
2023-01-04 03:00:00,2023-01-04,3,Normandie,3093.0
2023-01-04 04:00:00,2023-01-04,4,Normandie,2748.0
2023-01-04 05:00:00,2023-01-04,5,Normandie,2702.0
2023-01-04 06:00:00,2023-01-04,6,Normandie,3219.5
2023-01-04 07:00:00,2023-01-04,7,Normandie,3514.0
2023-01-04 08:00:00,2023-01-04,8,Normandie,3791.0
2023-01-04 09:00:00,2023-01-04,9,Normandie,3695.5
2023-01-04 10:00:00,2023-01-04,10,Normandie,3464.0
2023-01-04 11:00:00,2023-01-04,11,Normandie,3518.5
2023-01-04 12:00:00,2023-01-04,12,Normandie,3501.5
2023-01-04 13:00:00,2023-01-04,13,Normandie,3333.0
2023-01-04 14:00:00,2023-01-04,14,Normandie,3395.0
2023-01-04 15:00:00,2023-01-04,15,Normandie,3335.0
2023-01-04 16:00:00,2023-01-04,16,Normandie,3311.0
2023-01-04 17:00:00,2023-01-04,17,Normandie,3430.5
2023-01-04 18:00:00,2023-01-04,18,Normandie,3469.5
2023-01-04 19:00:00,2023-01-04,19,Normandie,3665.5
2023-01-04 20:00:00,2023-01-04,20,Normandie,3443.0
2023-01-04 21:00:00,2023-01-04,21,Normandie,3346.0
2023-01-04 22:00:00,2023-01-04,22,Normandie,3261.0
2023-01-04 23:00:00,2023-01-04,23,Normandie,3276.0
2023-01-05 00:00:00,2023-01-05,0,Normandie,2715.5
2023-01-05 01:00:00,2023-01-05,1,Normandie,3043.0
2023-01-05 02:00:00,2023-01-05,2,Normandie,2979.5
2023-01-05 03:00:00,2023-01-05,3,Normandie,3103.5
2023-01-05 04:00:00,2023-01-05,4,Normandie,2723.0
2023-01-05 05:00:00,2023-01-05,5,Normandie,2749.0
2023-01-05 06:00:00,2023-01-05,6,Normandie,3065.0
2023-01-05 07:00:00,2023-01-05,7,Normandie,3617.5
2023-01-05 08:00:00,2023-01-05,8,Normandie,3534.5
2023-01-05 09:00:00,2023-01-05,9,Normandie,3451.0
2023-01-05 10:00:00,2023-01-05,10,Normandie,3393.0
2023-01-05 11:00:00,2023-01-05,11,Normandie,3451.0
2023-01-05 12:00:00,2023-01-05,12,Normandie,3030.0
2023-01-05 13:00:00,2023-01-05,13,Normandie,3291.0
2023-01-05 14:00:00,2023-01-05,14,Normandie,3157.0
2023-01-05 15:00:00,2023-01-05,15,Normandie,3284.0
2023-01-05 16:00:00,2023-01-05,16,Normandie,3285.5
2023-01-05 17:00:00,2023-01-05,17,Normandie,3425.5
2023-01-05 18:00:00,2023-01-05,18,Normandie,3559.5
2023-01-05 19:00:00,2023-01-05,19,Normandie,3498.0
2023-01-05 20:00:00,2023-01-05,20,Normandie,3619.0
2023-01-05 21:00:00,2023-01-05,21,Normandie,3452.0
2023-01-05 22:00:00,2023-01-05,22,Normandie,3367.0
2023-01-05 23:00:00,2023-01-05,23,Normandie,3009.0
2023-01-06 00:00:00,2023-01-06,0,Normandie,3296.0
2023-01-06 01:00:00,2023-01-06,1,Normandie,2760.5
2023-01-06 02:00:00,2023-01-06,2,Normandie,3297.0
2023-01-06 03:00:00,2023-01-06,3,Normandie,2657.5
2023-01-06 04:00:00,2023-01-06,4,Normandie,2684.0
2023-01-06 05:00:00,2023-01-06,5,Normandie,2891.0
2023-01-06 06:00:00,2023-01-06,6,Normandie,3316.5
2023-01-06 07:00:00,2023-01-06,7,Normandie,3442.0
2023-01-06 08:00:00,2023-01-06,8,Normandie,3484.5
2023-01-06 09:00:00,2023-01-06,9,Normandie,3636.0
2023-01-06 10:00:00,2023-01-06,10,Normandie,3517.0
2023-01-06 11:00:00,2023-01-06,11,Normandie,3411.0
2023-01-06 12:00:00,2023-01-06,12,Normandie,3314.5
2023-01-06 13:00:00,2023-01-06,13,Normandie,3518.0
2023-01-06 14:00:00,2023-01-06,14,Normandie,3111.5
2023-01-06 15:00:00,2023-01-06,15,Normandie,3248.0
2023-01-06 16:00:00,2023-01-06,16,Normandie,3061.0
2023-01-06 17:00:00,2023-01-06,17,Normandie,3387.5
2023-01-06 18:00:00,2023-01-06,18,Normandie,3391.0
2023-01-06 19:00:00,2023-01-06,19,Normandie,3354.5
2023-01-06 20:00:00,2023-01-06,20,Normandie,3277.0
2023-01-06 21:00:00,2023-01-06,21,Normandie,3335.0
2023-01-06 22:00:00,2023-01-06,22,Normandie,2919.0
2023-01-06 23:00:00,2023-01-06,23,Normandie,2894.0
2023-01-07 00:00:00,2023-01-07,0,Normandie,3015.5
2023-01-07 01:00:00,2023-01-07,1,Normandie,2804.5
2023-01-07 02:00:00,2023-01-07,2,Normandie,2952.5
2023-01-07 03:00:00,2023-01-07,3,Normandie,2684.5
2023-01-07 04:00:00,2023-01-07,4,Normandie,2775.0
2023-01-07 05:00:00,2023-01-07,5,Normandie,2597.0
2023-01-07 06:00:00,2023-01-07,6,Normandie,2844.5
2023-01-07 07:00:00,2023-01-07,7,Normandie,2952.5
2023-01-07 08:00:00,2023-01-07,8,Normandie,3024.5
2023-01-07 09:00:00,2023-01-07,9,Normandie,3398.0
2023-01-07 10:00:00,2023-01-07,10,Normandie,3354.0
2023-01-07 11:00:00,2023-01-07,11,Normandie,3237.5
2023-01-07 12:00:00,2023-01-07,12,Normandie,3412.0
2023-01-07 13:00:00,2023-01-07,13,Normandie,3430.0
2023-01-07 14:00:00,2023-01-07,14,Normandie,3130.0
2023-01-07 15:00:00,2023-01-07,15,Normandie,3043.0
2023-01-07 16:00:00,2023-01-07,16,Normandie,2788.5
2023-01-07 17:00:00,2023-01-07,17,Normandie,3069.5
2023-01-07 18:00:00,2023-01-07,18,Normandie,3364.5
2023-01-07 19:00:00,2023-01-07,19,Normandie,3248.0
