Timestamp,Date,Hour,Perimeter,Consumption_MWh
2023-01-01 00:00:00,2023-01-01,0,Nouvelle-Aquitaine,4572.5
2023-01-01 01:00:00,2023-01-01,1,Nouvelle-Aquitaine,3869.5
2023-01-01 02:00:00,2023-01-01,2,Nouvelle-Aquitaine,3865.5
2023-01-01 03:00:00,2023-01-01,3,Nouvelle-Aquitaine,3514.5
2023-01-01 04:00:00,2023-01-01,4,Nouvelle-Aquitaine,3345.0
2023-01-01 05:00:00,2023-01-01,5,Nouvelle-Aquitaine,3222.0
2023-01-01 06:00:00,2023-01-01,6,Nouvelle-Aquitaine,3313.0
2023-01-01 07:00:00,2023-01-01,7,Nouvelle-Aquitaine,3318.0
2023-01-01 08:00:00,2023-01-01,8,Nouvelle-Aquitaine,3334.5
2023-01-01 09:00:00,2023-01-01,9,Nouvelle-Aquitaine,3336.5
2023-01-01 10:00:00,2023-01-01,10,Nouvelle-Aquitaine,3323.5
2023-01-01 11:00:00,2023-01-01,11,Nouvelle-Aquitaine,3510.0
2023-01-01 12:00:00,2023-01-01,12,Nouvelle-Aquitaine,3929.5
2023-01-01 13:00:00,2023-01-01,13,Nouvelle-Aquitaine,3680.0
2023-01-01 14:00:00,2023-01-01,14,Nouvelle-Aquitaine,3749.5
2023-01-01 15:00:00,2023-01-01,15,Nouvelle-Aquitaine,3584.5
2023-01-01 16:00:00,2023-01-01,16,Nouvelle-Aquitaine,3415.5
2023-01-01 17:00:00,2023-01-01,17,Nouvelle-Aquitaine,3534.0
2023-01-01 18:00:00,2023-01-01,18,Nouvelle-Aquitaine,3803.0
2023-01-01 19:00:00,2023-01-01,19,Nouvelle-Aquitaine,4083.0
2023-01-01 20:00:00,2023-01-01,20,Nouvelle-Aquitaine,3993.5
2023-01-01 21:00:00,2023-01-01,21,Nouvelle-Aquitaine,3841.0
2023-01-01 22:00:00,2023-01-01,22,Nouvelle-Aquitaine,3910.0
2023-01-01 23:00:00,2023-01-01,23,Nouvelle-Aquitaine,4100.5
2023-01-02 00:00:00,2023-01-02,0,Nouvelle-Aquitaine,4245.5
2023-01-02 01:00:00,2023-01-02,1,Nouvelle-Aquitaine,4128.0
2023-01-02 02:00:00,2023-01-02,2,Nouvelle-Aquitaine,4028.0
2023-01-02 03:00:00,2023-01-02,3,Nouvelle-Aquitaine,3712.0
2023-01-02 04:00:00,2023-01-02,4,Nouvelle-Aquitaine,3523.0
2023-01-02 05:00:00,2023-01-02,5,Nouvelle-Aquitaine,3478.5
2023-01-02 06:00:00,2023-01-02,6,Nouvelle-Aquitaine,3894.5
2023-01-02 07:00:00,2023-01-02,7,Nouvelle-Aquitaine,4175.0
2023-01-02 08:00:00,2023-01-02,8,Nouvelle-Aquitaine,4552.5
2023-01-02 09:00:00,2023-01-02,9,Nouvelle-Aquitaine,4782.5
2023-01-02 10:00:00,2023-01-02,10,Nouvelle-Aquitaine,4801.0
2023-01-02 11:00:00,2023-01-02,11,Nouvelle-Aquitaine,4839.5
2023-01-02 12:00:00,2023-01-02,12,Nouvelle-Aquitaine,4947.0
2023-01-02 13:00:00,2023-01-02,13,Nouvelle-Aquitaine,4755.0
2023-01-02 14:00:00,2023-01-02,14,Nouvelle-Aquitaine,4793.0
2023-01-02 15:00:00,2023-01-02,15,Nouvelle-Aquitaine,4879.0
2023-01-02 16:00:00,2023-01-02,16,Nouvelle-Aquitaine,4638.5
2023-01-02 17:00:00,2023-01-02,17,Nouvelle-Aquitaine,4682.0
2023-01-02 18:00:00,2023-01-02,18,Nouvelle-Aquitaine,5111.0
2023-01-02 19:00:00,2023-01-02,19,Nouvelle-Aquitaine,5515.0
2023-01-02 20:00:00,2023-01-02,20,Nouvelle-Aquitaine,5004.5
2023-01-02 21:00:00,2023-01-02,21,Nouvelle-Aquitaine,4526.0
2023-01-02 22:00:00,2023-01-02,22,Nouvelle-Aquitaine,4306.5
2023-01-02 23:00:00,2023-01-02,23,Nouvelle-Aquitaine,4636.0
2023-01-03 00:00:00,2023-01-03,0,Nouvelle-Aquitaine,4856.0
2023-01-03 01:00:00,2023-01-03,1,Nouvelle-Aquitaine,4531.5
2023-01-03 02:00:00,2023-01-03,2,Nouvelle-Aquitaine,4414.5
2023-01-03 03:00:00,2023-01-03,3,Nouvelle-Aquitaine,4374.5
2023-01-03 04:00:00,2023-01-03,4,Nouvelle-Aquitaine,4198.0
2023-01-03 05:00:00,2023-01-03,5,Nouvelle-Aquitaine,4298.0
2023-01-03 06:00:00,2023-01-03,6,Nouvelle-Aquitaine,4893.5
2023-01-03 07:00:00,2023-01-03,7,Nouvelle-Aquitaine,5587.0
2023-01-03 08:00:00,2023-01-03,8,Nouvelle-Aquitaine,6074.5
2023-01-03 09:00:00,2023-01-03,9,Nouvelle-Aquitaine,5855.5
2023-01-03 10:00:00,2023-01-03,10,Nouvelle-Aquitaine,5718.5
2023-01-03 11:00:00,2023-01-03,11,Nouvelle-Aquitaine,5716.0
2023-01-03 12:00:00,2023-01-03,12,Nouvelle-Aquitaine,5628.5
2023-01-03 13:00:00,2023-01-03,13,Nouvelle-Aquitaine,5342.5
2023-01-03 14:00:00,2023-01-03,14,Nouvelle-Aquitaine,5235.5
2023-01-03 15:00:00,2023-01-03,15,Nouvelle-Aquitaine,5257.5
2023-01-03 16:00:00,2023-01-03,16,Nouvelle-Aquitaine,5058.5
2023-01-03 17:00:00,2023-01-03,17,Nouvelle-Aquitaine,4981.0
2023-01-03 18:00:00,2023-01-03,18,Nouvelle-Aquitaine,5326.5
2023-01-03 19:00:00,2023-01-03,19,Nouvelle-Aquitaine,5590.0
2023-01-03 20:00:00,2023-01-03,20,Nouvelle-Aquitaine,5474.0
2023-01-03 21:00:00,2023-01-03,21,Nouvelle-Aquitaine,4797.0
2023-01-03 22:00:00,2023-01-03,22,Nouvelle-Aquitaine,5076.0
2023-01-03 23:00:00,2023-01-03,23,Nouvelle-Aquitaine,4977.0
2023-01-04 00:00:00,2023-01-04,0,Nouvelle-Aquitaine,4719.5
2023-01-04 01:00:00,2023-01-04,1,Nouvelle-Aquitaine,4723.0
2023-01-04 02:00:00,2023-01-04,2,Nouvelle-Aquitaine,4627.0
2023-01-04 03:00:00,2023-01-04,3,Nouvelle-Aquitaine,4300.0
2023-01-04 04:00:00,2023-01-04,4,Nouvelle-Aquitaine,4196.0
2023-01-04 05:00:00,2023-01-04,5,Nouvelle-Aquitaine,4406.0
2023-01-04 06:00:00,2023-01-04,6,Nouvelle-Aquitaine,4821.5
2023-01-04 07:00:00,2023-01-04,7,Nouvelle-Aquitaine,5295.0
2023-01-04 08:00:00,2023-01-04,8,Nouvelle-Aquitaine,5333.0
2023-01-04 09:00:00,2023-01-04,9,Nouvelle-Aquitaine,5652.5
2023-01-04 10:00:00,2023-01-04,10,Nouvelle-Aquitaine,5542.0
2023-01-04 11:00:00,2023-01-04,11,Nouvelle-Aquitaine,5675.5
2023-01-04 12:00:00,2023-01-04,12,Nouvelle-Aquitaine,5887.0
2023-01-04 13:00:00,2023-01-04,13,Nouvelle-Aquitaine,5317.0
2023-01-04 14:00:00,2023-01-04,14,Nouvelle-Aquitaine,5216.5
