Timestamp,Date,Hour,Perimeter,Consumption_MWh
2023-01-01 00:00:00,2023-01-01,0,Occitanie,4908.5
2023-01-01 01:00:00,2023-01-01,1,Occitanie,3937.0
2023-01-01 02:00:00,2023-01-01,2,Occitanie,4011.0
2023-01-01 03:00:00,2023-01-01,3,Occitanie,3660.0
2023-01-01 04:00:00,2023-01-01,4,Occitanie,3710.5
2023-01-01 05:00:00,2023-01-01,5,Occitanie,3466.5
2023-01-01 06:00:00,2023-01-01,6,Occitanie,3512.0
2023-01-01 07:00:00,2023-01-01,7,Occitanie,3390.5
2023-01-01 08:00:00,2023-01-01,8,Occitanie,3290.0
2023-01-01 09:00:00,2023-01-01,9,Occitanie,3513.5
2023-01-01 10:00:00,2023-01-01,10,Occitanie,3269.0
2023-01-01 11:00:00,2023-01-01,11,Occitanie,3278.0
2023-01-01 12:00:00,2023-01-01,12,Occitanie,3574.0
2023-01-01 13:00:00,2023-01-01,13,Occitanie,3631.0
2023-01-01 14:00:00,2023-01-01,14,Occitanie,3726.5
2023-01-01 15:00:00,2023-01-01,15,Occitanie,3794.5
2023-01-01 16:00:00,2023-01-01,16,Occitanie,3571.5
2023-01-01 17:00:00,2023-01-01,17,Occitanie,3647.5
2023-01-01 18:00:00,2023-01-01,18,Occitanie,3938.5
2023-01-01 19:00:00,2023-01-01,19,Occitanie,4245.5
2023-01-01 20:00:00,2023-01-01,20,Occitanie,4156.5
2023-01-01 21:00:00,2023-01-01,21,Occitanie,3853.0
2023-01-01 22:00:00,2023-01-01,22,Occitanie,3888.5
2023-01-01 23:00:00,2023-01-01,23,Occitanie,4037.5
2023-01-02 00:00:00,2023-01-02,0,Occitanie,3910.5
2023-01-02 01:00:00,2023-01-02,1,Occitanie,3664.5
2023-01-02 02:00:00,2023-01-02,2,Occitanie,3557.0
2023-01-02 03:00:00,2023-01-02,3,Occitanie,3473.0
2023-01-02 04:00:00,2023-01-02,4,Occitanie,3284.5
2023-01-02 05:00:00,2023-01-02,5,Occitanie,3216.0
2023-01-02 06:00:00,2023-01-02,6,Occitanie,3751.5
2023-01-02 07:00:00,2023-01-02,7,Occitanie,3838.0
2023-01-02 08:00:00,2023-01-02,8,Occitanie,3873.5
2023-01-02 09:00:00,2023-01-02,9,Occitanie,4328.5
2023-01-02 10:00:00,2023-01-02,10,Occitanie,4246.5
2023-01-02 11:00:00,2023-01-02,11,Occitanie,4392.5
